ticker,rows,headline_days,date_min,date_max,dev_rows,dev_headline_days
FCX,2138,1116,2009-08-10,2020-06-09,1520,806
PEP,2113,1090,2009-08-17,2020-06-11,1781,906
GPS,2099,933,2009-08-07,2020-06-11,1714,743
GRPN,2090,808,2011-06-02,2020-06-10,2051,777
XLF,2073,1181,2010-09-21,2020-06-11,1839,1055
TM,2047,1199,2009-08-07,2020-06-09,1529,929
GLD,2029,1193,2012-06-01,2020-06-11,1956,1146
EWP,2026,763,2012-04-18,2020-06-09,2010,748
HAL,1991,941,2009-08-10,2020-06-11,1543,723
LOW,1989,891,2009-08-13,2020-06-11,1649,729
XRT,1989,1116,2009-10-28,2020-06-11,1790,969
ADBE,1979,774,2009-08-17,2020-06-08,1615,604
MYL,1971,966,2009-10-19,2020-06-08,1792,855
AZN,1962,1048,2009-08-17,2020-06-11,1685,900
DISH,1961,974,2009-08-12,2020-06-10,1790,868
ATVI,1941,999,2009-08-25,2020-06-10,1660,844
TSLA,1929,291,2019-07-01,2020-06-10,1245,195
LNKD,1899,767,2011-05-09,2017-08-08,1899,767
BIIB,1898,853,2011-06-21,2020-06-10,1828,816
EWI,1894,985,2009-12-08,2020-05-22,1776,918
BIDU,1886,990,2011-09-23,2020-06-08,1798,949
DB,1884,1064,2009-08-10,2020-06-09,1468,810
MDT,1883,983,2009-08-07,2020-06-11,1555,806
CMCSA,1848,934,2014-04-22,2020-06-10,1746,881
DE,1841,835,2009-08-07,2020-06-09,1511,672
CVS,1834,934,2009-08-13,2020-06-08,1593,788
GOOGL,1824,486,2018-07-25,2020-06-10,1469,406
AXP,1822,968,2009-08-07,2020-06-10,1382,731
WDC,1815,878,2009-11-09,2020-06-09,1628,752
A,1799,480,2009-04-29,2020-06-05,741,352
PFE,1798,802,2016-01-14,2020-06-11,1645,739
BAC,1796,899,2014-10-10,2020-06-10,1628,824
MON,1777,793,2009-08-14,2018-06-07,1467,631
RIG,1773,971,2009-08-18,2020-06-11,1366,760
KSS,1764,831,2009-08-14,2020-06-11,1453,662
KR,1763,854,2009-08-14,2020-06-11,1503,716
NVS,1746,1050,2009-08-13,2020-06-11,1503,897
GMCR,1743,679,2009-05-27,2018-02-06,1558,584
YUM,1741,768,2011-12-05,2020-06-11,1670,727
PCG,1741,629,2009-07-27,2020-06-11,1596,542
GME,1737,765,2009-10-27,2020-06-11,1507,647
JWN,1718,805,2009-08-18,2020-06-11,1440,650
EWJ,1707,1006,2009-10-24,2020-06-08,1553,894
TXN,1692,791,2009-07-27,2020-06-05,1304,607
SLV,1692,845,2009-08-17,2020-05-05,1227,620
VMW,1679,766,2009-08-10,2020-06-11,1377,596
SNY,1672,976,2009-08-18,2020-06-11,1344,809
ZNGA,1671,699,2011-10-13,2020-06-09,1603,669
COP,1665,960,2009-08-10,2020-06-10,1316,746
PCLN,1662,743,2011-01-13,2018-02-28,1629,729
APC,1650,820,2009-08-07,2020-04-09,1319,654
AVGO,1644,720,2010-06-03,2020-06-08,1543,668
YELP,1640,679,2011-11-17,2020-06-11,1609,660
SHLD,1639,809,2009-08-10,2019-05-23,1454,711
BBBY,1634,589,2009-12-01,2020-06-10,1406,484
URBN,1630,614,2009-08-18,2020-06-09,1410,504
DG,1623,696,2009-12-23,2020-06-04,1466,613
EWZ,1615,1010,2009-08-17,2020-06-09,1418,855
STX,1615,793,2009-09-23,2020-06-08,1367,655
CSX,1582,783,2009-07-21,2020-06-05,1315,633
AIG,1580,808,2011-01-12,2020-06-10,1465,740
RAD,1578,722,2009-09-17,2020-06-11,1442,645
CCL,1564,732,2009-08-07,2020-06-10,1212,590
FCAU,1553,731,2014-10-13,2020-06-10,1435,675
GSK,1551,990,2009-08-07,2020-06-08,1285,819
HUM,1547,757,2009-08-10,2020-06-11,1353,642
JBLU,1545,879,2009-09-10,2020-06-10,1219,715
AKS,1542,791,2009-08-14,2020-03-12,1334,667
FEYE,1540,604,2013-09-20,2020-06-09,1510,586
FOXA,1538,802,2013-07-01,2020-06-10,1478,765
EWC,1532,820,2009-11-27,2020-05-28,1425,753
NBG,1526,534,2009-12-10,2016-05-04,1490,502
NTAP,1523,610,2009-07-27,2020-06-09,1277,485
ANF,1518,624,2011-04-06,2020-06-03,1461,592
HTZ,1500,711,2009-08-17,2020-06-11,1211,576
MRVL,1500,718,2009-08-13,2020-06-04,1230,568
DD,1493,759,2009-06-01,2020-05-28,1168,575
TIF,1492,586,2011-01-12,2020-06-09,1435,556
DLTR,1490,671,2009-08-17,2020-06-08,1282,571
DRI,1488,612,2009-08-17,2020-06-10,1279,497
CLF,1478,816,2009-08-17,2020-06-08,1244,646
CRM,1474,579,2015-11-19,2020-06-10,1380,532
DKS,1473,619,2009-08-17,2020-06-09,1319,529
REGN,1472,758,2010-03-21,2020-06-05,1304,676
TSN,1468,661,2009-11-23,2020-06-11,1236,545
AEO,1464,657,2009-10-08,2020-06-05,1148,497
EWW,1462,607,2011-07-12,2020-06-09,1414,580
BX,1460,920,2009-08-13,2020-05-26,1160,745
MMM,1458,773,2009-08-13,2020-06-11,1053,573
YHOO,1458,430,2015-01-02,2017-06-19,1458,430
UA,1453,729,2009-08-13,2020-06-11,1349,643
MO,1452,821,2009-08-10,2020-06-11,1201,654
XLE,1429,980,2009-09-03,2020-06-11,1232,825
BSX,1410,795,2009-08-07,2020-06-08,1123,630
FL,1402,623,2009-08-07,2020-06-08,1166,526
BLK,1399,847,2009-10-20,2020-06-03,1151,689
GIS,1399,668,2009-08-07,2020-06-11,1200,550
XLK,1398,919,2009-08-29,2020-06-11,1222,781
LEN,1387,662,2009-09-21,2020-06-11,1131,505
JNPR,1380,675,2009-08-13,2020-04-29,1164,544
WFM,1364,574,2011-05-26,2018-01-31,1364,574
TLT,1356,863,2011-03-02,2020-06-11,1309,827
AET,1355,716,2009-10-13,2019-06-11,1190,616
IBB,1340,977,2009-10-01,2020-06-10,1210,864
SLB,1338,726,2011-03-10,2020-06-11,1232,666
DDD,1331,639,2010-09-27,2020-05-19,1303,621
PANW,1331,528,2012-07-09,2020-06-11,1265,495
TJX,1326,689,2009-08-16,2020-06-11,1067,533
VRTX,1324,718,2009-08-10,2020-06-10,1167,613
CI,1321,696,2009-08-07,2020-06-05,1107,561
POT,1315,691,2009-08-18,2018-01-02,855,485
MOS,1314,679,2009-09-14,2020-06-11,1040,512
SYMC,1303,601,2009-08-07,2019-11-07,1147,511
PG,1302,644,2013-05-22,2020-06-05,1243,618
SNDK,1298,545,2009-08-14,2017-03-07,1082,423
MAR,1296,667,2009-08-10,2020-06-10,1045,536
ACN,1293,686,2009-08-14,2020-06-05,1070,550
PBR,1291,861,2009-08-18,2020-06-11,1012,665
K,1290,604,2009-07-16,2020-06-11,990,511
KORS,1287,569,2011-12-12,2018-12-26,1287,569
HAS,1286,607,2009-08-07,2020-06-10,1116,505
CREE,1281,588,2009-08-14,2020-06-10,1097,480
COH,1271,629,2009-08-14,2017-11-22,1124,537
STZ,1253,579,2009-08-07,2020-06-11,1128,512
ILMN,1244,589,2009-08-13,2020-06-10,1138,523
PRGO,1243,621,2009-09-21,2020-06-10,1154,562
SIRI,1234,727,2009-08-16,2020-06-10,1022,587
RHT,1234,473,2009-08-14,2019-07-11,1105,401
GD,1215,789,2009-08-10,2020-06-11,1001,650
KBH,1208,596,2009-09-16,2020-06-11,991,466
DOW,1205,665,2009-08-17,2020-06-09,953,514
SINA,1201,608,2009-09-15,2020-05-28,1086,535
JD,1196,617,2014-05-21,2020-06-10,1086,569
WBA,1181,530,2014-12-31,2020-06-08,1122,499
NSC,1175,648,2009-10-26,2020-06-11,1001,542
CPB,1174,528,2009-10-30,2020-06-09,973,423
BHI,1171,583,2009-09-17,2020-06-08,1020,490
NOC,1169,739,2009-08-07,2020-06-11,959,605
BUD,1164,703,2010-03-04,2020-06-09,1017,613
OXY,1159,668,2009-07-27,2020-06-11,855,525
GWPH,1154,666,2013-06-04,2020-06-01,1091,626
INO,1150,492,2009-10-26,2020-06-09,877,420
NVAX,1146,561,2009-08-14,2020-06-09,898,479
HMC,1138,748,2009-08-22,2020-06-11,948,607
ADSK,1138,514,2009-08-17,2020-06-08,942,408
ESRX,1137,575,2009-08-17,2018-12-19,1025,496
NEM,1136,774,2009-08-17,2020-06-11,877,603
AMTD,1133,668,2009-08-16,2020-06-09,953,551
IWM,1124,772,2009-08-17,2020-06-11,941,626
X,1123,465,2016-04-26,2020-06-11,1068,430
TOL,1118,567,2009-08-27,2020-06-11,914,449
DPZ,1118,496,2009-10-13,2020-06-09,975,419
SPLS,1115,500,2009-08-16,2019-02-28,980,423
PVH,1110,475,2009-08-14,2020-06-11,973,404
CSIQ,1106,592,2009-08-27,2020-05-29,987,512
CIEN,1106,471,2009-08-13,2020-06-05,915,364
BHP,1106,675,2009-08-04,2020-06-05,655,445
TWC,1104,570,2009-08-17,2017-11-21,971,486
LL,1102,438,2009-08-07,2020-06-11,1037,388
CAG,1101,505,2009-08-12,2020-06-08,981,437
NXPI,1097,657,2010-10-27,2020-06-08,1008,597
NDAQ,1095,611,2009-08-27,2020-06-10,921,501
SPWR,1091,537,2011-12-06,2020-06-09,1051,511
INTU,1090,543,2009-08-17,2020-06-04,928,446
ALK,1090,652,2009-08-10,2020-06-10,892,544
IBM,1083,484,2016-09-23,2020-06-11,983,439
ENDP,1083,527,2012-08-08,2020-06-10,1059,514
BRCM,1078,533,2009-07-27,2017-06-28,862,403
WEN,1074,572,2009-08-17,2020-06-10,891,472
DHI,1072,595,2009-11-19,2020-06-11,846,462
SAVE,1065,565,2011-05-25,2020-06-10,882,501
DRYS,1064,569,2009-08-10,2019-10-14,918,479
BKS,1063,505,2011-01-04,2019-07-15,1034,484
XRX,1058,531,2009-08-18,2020-06-11,895,423
NAV,1054,526,2009-02-14,2020-06-05,899,426
CP,1052,596,2009-07-07,2020-05-22,987,543
DVN,1050,686,2009-08-18,2020-06-10,791,518
TEVA,1048,461,2017-02-07,2020-06-11,953,407
USB,1047,643,2009-08-10,2020-06-11,760,461
NWSA,1046,595,2009-08-07,2020-05-08,843,463
WHR,1045,549,2009-08-27,2020-05-28,898,466
MRO,1042,662,2009-08-07,2020-06-11,869,543
KKR,1039,662,2010-05-07,2020-06-11,942,593
TRIP,1039,513,2011-12-21,2020-06-10,966,467
BWLD,1039,442,2009-08-17,2018-01-29,934,382
COF,1039,621,2009-07-27,2020-06-10,817,471
ETFC,1033,600,2009-08-13,2020-06-05,855,480
RH,1033,399,2012-11-02,2020-06-11,979,374
GRUB,1032,450,2014-03-24,2020-06-11,894,406
WLL,1024,564,2009-12-08,2020-06-11,902,500
FDO,1022,426,2009-08-17,2016-11-18,820,330
WSM,1022,411,2009-08-27,2020-06-04,881,340
FOSL,1020,442,2009-12-14,2020-06-10,910,385
DFS,1017,623,2009-08-13,2020-06-10,782,459
SPLK,1015,455,2012-04-19,2020-06-04,921,417
THC,1011,554,2009-08-14,2020-06-11,867,464
C,1008,507,2017-01-13,2020-06-10,866,442
CSCO,1003,432,2016-08-17,2020-06-10,887,383
ADI,999,498,2009-08-12,2020-06-05,851,417
AVP,992,494,2009-08-14,2020-01-03,897,428
DECK,991,489,2009-11-02,2020-06-05,838,403
HSY,991,500,2009-09-08,2020-05-08,846,412
ARNA,988,506,2009-09-14,2020-06-04,806,405
ABX,985,635,2009-09-02,2019-08-02,801,502
VLO,983,683,2009-08-10,2020-06-11,794,547
MET,982,638,2009-09-10,2020-06-11,743,469
BIG,981,393,2009-08-07,2020-06-08,808,299
EW,980,497,2009-08-28,2020-06-08,850,417
DIA,977,339,2018-09-13,2020-06-10,891,277
VALE,975,639,2010-11-30,2020-06-11,844,555
ODP,969,520,2009-08-13,2020-06-08,817,422
MCK,965,515,2009-10-27,2020-06-11,827,419
UBS,958,653,2009-08-07,2020-06-11,618,427
PIR,955,401,2009-08-07,2020-02-18,881,355
AZO,951,431,2009-08-13,2020-05-27,787,342
CME,950,663,2009-07-27,2020-06-09,751,519
CMI,948,532,2009-12-07,2020-06-05,802,436
CF,948,572,2009-08-07,2020-05-26,764,443
VVUS,947,494,2009-08-13,2020-06-08,777,392
GREK,944,362,2011-12-06,2020-05-02,941,359
ZUMZ,943,398,2009-11-16,2020-06-05,836,340
LGF,941,574,2009-08-10,2020-05-21,794,476
MYGN,940,499,2009-08-18,2020-06-08,820,421
FNSR,939,374,2009-08-07,2019-09-25,852,322
RCL,939,513,2009-08-13,2020-06-11,648,375
AOL,937,459,2010-01-12,2017-02-14,778,370
OSTK,937,529,2009-10-19,2020-06-10,826,454
HOG,937,412,2011-04-15,2020-06-10,885,381
MNST,935,466,2012-01-17,2020-06-08,881,436
DNKN,932,525,2011-05-18,2020-06-10,885,493
MT,930,597,2009-08-13,2020-06-11,715,453
WDAY,930,401,2012-08-31,2020-06-11,859,367
IP,930,545,2009-08-07,2020-06-11,665,393
CLVS,929,437,2012-01-03,2020-06-10,865,403
CS,926,664,2009-08-10,2020-06-09,643,467
RL,925,468,2009-08-07,2020-06-11,779,382
STLD,922,548,2009-08-18,2020-05-27,824,475
BAX,921,555,2009-10-09,2020-06-10,784,455
PHM,919,582,2009-08-17,2020-06-11,772,480
BMRN,916,544,2009-08-13,2020-06-10,827,477
EOG,916,616,2009-08-10,2020-06-11,760,508
WMB,916,540,2009-10-29,2020-06-11,793,460
PNC,916,548,2009-08-13,2020-06-11,693,393
TSM,909,634,2009-08-17,2020-06-11,806,556
ICE,908,554,2009-08-10,2020-06-11,751,444
CTL,908,548,2009-08-13,2020-06-10,782,449
JBL,894,373,2009-08-17,2020-06-11,738,286
VOD,893,589,2009-08-10,2020-06-09,698,453
JCI,893,462,2009-10-08,2020-06-10,743,357
EWG,892,525,2009-11-09,2020-06-09,788,459
SHPG,890,432,2012-07-09,2019-01-08,890,432
D,888,493,2009-08-06,2020-06-09,596,378
SSYS,886,475,2010-01-19,2020-06-02,847,453
RAX,885,402,2009-11-10,2017-03-01,761,326
STJ,883,455,2009-10-06,2018-01-02,747,369
SYK,883,478,2009-10-28,2020-06-11,696,360
CTXS,882,468,2009-09-16,2020-05-21,738,366
PAY,881,320,2009-08-18,2018-08-15,810,279
DUK,881,576,2009-08-13,2020-06-09,732,471
FTNT,880,462,2010-06-03,2020-06-04,788,409
TGT,877,369,2017-10-27,2020-06-11,731,323
INCY,877,526,2009-09-23,2020-05-29,787,460
CNC,867,493,2009-08-13,2020-05-20,787,436
SGEN,865,534,2009-08-16,2020-06-10,761,470
KMX,863,412,2009-08-16,2020-06-11,720,334
UAL,862,316,2018-01-11,2020-06-11,513,236
ULTA,861,319,2013-09-08,2020-06-09,793,285
EWA,860,535,2009-11-10,2020-05-22,799,483
WTW,857,398,2009-11-11,2019-05-02,825,377
CY,855,478,2009-08-12,2020-04-14,769,420
SIG,854,339,2009-08-13,2020-06-11,778,295
SWHC,849,326,2009-09-10,2017-01-04,809,304
STI,848,491,2009-09-18,2019-11-20,659,368
SODA,846,371,2010-11-04,2018-11-30,811,350
MNKD,843,429,2009-10-06,2020-05-06,735,371
MPC,841,551,2011-07-01,2020-06-11,762,496
JKS,840,512,2010-06-23,2020-06-09,726,437
CTSH,839,431,2009-08-17,2020-06-10,727,350
RF,839,534,2009-05-27,2020-06-11,587,361
ERIC,835,551,2009-08-13,2020-06-08,703,447
CLX,833,449,2009-09-08,2020-06-03,654,338
FINL,833,329,2009-08-10,2018-06-19,782,293
CL,831,489,2009-09-09,2020-06-08,702,395
NBL,830,539,2009-07-27,2020-06-11,686,456
CYH,827,476,2009-08-14,2020-06-09,732,415
CMA,825,463,2009-08-10,2020-06-10,647,352
FITB,825,554,2009-10-26,2020-06-10,579,378
BTU,824,456,2011-03-03,2020-06-10,778,428
FXI,824,103,2020-02-18,2020-06-11,157,8
TIVO,823,432,2009-08-07,2020-06-01,680,349
GCI,823,419,2009-09-29,2020-06-11,677,334
DF,819,399,2009-08-14,2019-12-20,718,339
BK,816,525,2009-08-16,2020-06-05,631,405
JEC,815,552,2009-08-25,2019-12-10,699,477
SBUX,815,310,2017-11-02,2020-06-10,614,247
AAP,813,404,2009-08-13,2020-06-10,707,337
KMI,811,481,2010-11-23,2020-06-11,757,440
SKX,810,421,2009-09-08,2020-06-11,707,343
PRU,810,523,2009-09-10,2020-06-11,579,372
TMO,807,466,2009-09-03,2020-06-11,667,380
DTV,804,448,2009-08-10,2018-04-27,677,361
W,804,374,2014-08-15,2020-06-08,661,324
SJM,804,372,2009-08-10,2020-06-11,697,318
GRMN,804,440,2009-08-16,2020-06-08,697,365
OPK,804,540,2010-10-14,2020-06-11,710,491
AMAT,801,372,2015-08-12,2020-06-05,724,327
ARO,800,369,2009-08-06,2016-04-22,637,267
PPG,799,455,2009-09-09,2020-06-11,676,366
RRC,798,534,2009-10-21,2020-06-08,683,448
ARIA,796,402,2009-11-09,2017-04-12,754,375
TAP,795,456,2009-08-13,2020-06-11,707,395
CLR,795,531,2009-08-17,2020-06-10,650,447
SVU,795,415,2009-08-14,2018-10-18,690,354
JACK,793,356,2009-08-07,2020-06-10,679,299
ADM,792,475,2009-08-12,2020-06-05,656,387
PXD,791,547,2009-08-07,2020-06-11,677,461
MCO,791,472,2009-09-09,2020-06-11,583,329
PNRA,790,421,2009-08-17,2017-07-28,694,354
ETN,789,446,2009-08-16,2020-06-05,621,327
JBHT,789,406,2010-01-19,2020-05-26,704,356
SYY,788,389,2009-08-18,2020-06-11,671,318
EXPE,787,377,2015-10-29,2020-06-09,677,327
EL,787,402,2009-08-12,2020-06-08,673,331
KSU,783,486,2009-09-08,2020-06-11,675,403
PLUG,779,392,2009-10-08,2020-06-10,719,350
CA,779,296,2009-08-06,2018-11-01,359,221
FLR,778,494,2009-08-10,2020-06-10,586,368
MCHP,777,430,2009-11-19,2020-06-05,660,361
GOLD,777,536,2009-07-27,2020-06-09,597,397
RIO,776,526,2009-08-07,2020-06-11,613,427
ALL,776,500,2009-08-10,2020-06-09,608,387
HZNP,773,387,2011-07-28,2020-06-03,732,363
APO,772,505,2010-02-27,2020-06-09,724,472
ADP,771,453,2009-08-13,2020-06-05,658,365
NE,769,525,2009-08-06,2020-06-11,607,410
CROX,765,389,2009-08-10,2020-06-09,638,309
FIVE,764,300,2012-07-13,2020-06-10,700,276
GDX,762,623,2009-09-02,2020-06-03,520,439
NWL,758,397,2010-01-08,2020-06-11,650,326
EMR,755,412,2009-10-06,2020-06-05,653,347
SWN,755,492,2009-08-07,2020-06-08,639,403
RVBD,754,353,2009-08-10,2016-11-29,588,240
LAKE,754,308,2009-07-27,2020-06-10,635,268
HOLX,753,399,2009-09-15,2020-06-09,627,325
WU,753,416,2009-08-18,2020-06-11,635,348
NUAN,750,403,2009-08-07,2020-06-02,681,355
RSX,749,268,2019-02-14,2020-06-11,568,209
BRCD,746,321,2009-08-17,2017-11-20,591,251
MW,746,335,2009-08-10,2019-04-07,587,229
DISCA,745,434,2011-06-23,2020-06-10,701,403
BBT,745,453,2009-08-16,2019-12-01,595,356
DGX,743,403,2009-10-08,2020-06-09,592,313
HOT,741,398,2009-08-13,2019-04-02,627,321
ADS,740,481,2009-06-19,2020-06-08,568,351
ANTM,735,412,2014-12-22,2020-06-08,682,376
EEM,734,603,2009-08-17,2020-05-14,563,458
JASO,734,408,2009-11-10,2019-01-25,562,296
NRG,734,473,2009-11-16,2020-05-20,618,397
BDX,733,423,2009-08-16,2020-06-01,599,330
CRUS,732,397,2009-09-15,2020-05-28,606,325
FCEL,732,418,2009-09-24,2020-06-10,664,372
UNFI,731,309,2009-09-09,2020-06-10,641,263
AGU,730,451,2009-09-14,2018-01-02,596,359
HMNY,730,265,2011-12-15,2020-02-04,730,265
FTI,728,472,2009-08-13,2020-06-11,574,377
IT,727,376,2009-08-07,2020-05-13,350,208
BLUE,727,369,2013-06-19,2020-06-07,687,342
TOT,727,541,2009-08-07,2020-06-11,529,400
JAZZ,725,437,2009-08-17,2020-06-01,640,383
DHR,725,408,2009-09-02,2020-06-09,580,316
ICPT,724,343,2012-10-11,2020-06-05,703,329
FTR,724,438,2009-08-13,2020-04-15,640,378
XBI,723,653,2009-11-03,2020-06-11,613,553
IMAX,719,487,2009-08-13,2020-05-18,615,422
HCA,716,419,2011-03-10,2020-06-11,674,389
DO,714,461,2009-08-13,2020-04-28,535,348
YGE,713,441,2009-07-27,2019-01-25,610,368
MPEL,712,442,2009-08-18,2018-01-01,640,390
MSI,709,385,2011-01-04,2020-06-11,658,353
DBC,709,647,2009-08-07,2018-02-07,667,606
GPN,709,373,2009-10-01,2020-06-11,601,306
WFT,709,431,2009-09-08,2019-05-13,638,373
IGT,706,435,2009-10-26,2020-06-11,558,341
LRCX,705,386,2012-08-30,2020-06-05,635,341
ATHN,703,345,2009-08-10,2018-11-27,600,278
NBR,703,432,2011-03-31,2020-06-11,617,387
GLUU,700,402,2010-02-10,2020-06-10,643,368
NOV,700,474,2009-08-07,2020-06-11,571,378
CNI,695,460,2009-08-13,2020-06-05,619,404
KMB,694,380,2009-08-16,2020-06-08,557,291
KLAC,693,409,2009-12-09,2020-06-05,585,335
DGLY,693,347,2009-09-22,2020-06-10,629,324
CHKP,693,385,2009-08-17,2020-04-28,603,324
PLCE,692,298,2009-09-21,2020-06-09,595,229
ITW,691,387,2009-08-07,2020-06-11,559,296
CMTL,689,457,2009-12-09,2020-06-10,624,413
MXIM,688,419,2009-08-07,2020-06-05,592,358
AMT,687,460,2009-09-16,2020-06-03,545,359
ABC,686,394,2009-08-10,2020-06-05,571,308
TSL,686,390,2011-03-16,2017-09-20,686,390
TPX,685,363,2009-08-18,2020-06-11,617,319
MLNX,684,377,2010-03-29,2020-04-28,627,333
NVO,683,462,2009-07-27,2020-06-11,609,401
ZION,683,415,2009-08-07,2020-06-09,487,291
NEE,683,449,2010-07-26,2020-06-11,600,390
BYD,683,433,2009-10-27,2020-06-10,549,340
EQIX,682,438,2009-09-27,2020-06-03,553,362
KTOS,682,492,2009-09-02,2020-06-08,634,459
TSCO,681,367,2009-10-08,2020-06-02,570,302
ALTR,678,363,2009-10-13,2020-06-05,542,279
RSH,677,353,2009-08-17,2015-05-13,547,279
RMBS,677,403,2009-08-14,2020-05-05,541,310
CEO,676,385,2009-08-06,2020-05-22,372,290
ACHN,674,314,2009-12-16,2020-01-28,664,308
GNC,674,364,2011-04-01,2020-06-10,651,349
XLV,674,537,2009-08-16,2020-06-01,601,472
NKTR,673,382,2009-09-22,2020-06-04,621,345
ACTG,672,416,2009-11-09,2020-06-08,621,381
CHS,671,351,2009-11-16,2020-06-11,559,279
IMMU,671,386,2010-01-11,2020-06-08,555,332
AKRX,670,379,2009-11-04,2020-06-03,598,336
NLNK,670,323,2011-11-11,2020-03-19,663,316
LH,669,368,2009-08-14,2020-06-11,549,293
ASNA,669,311,2011-01-31,2020-06-09,638,293
ECA,668,449,2009-08-18,2020-01-27,611,401
SO,667,420,2009-08-10,2020-06-11,569,348
ALB,667,386,2009-12-14,2020-05-29,579,322
IR,665,380,2009-08-07,2020-06-11,536,303
PENN,664,412,2009-08-18,2020-06-10,502,315
EAT,662,355,2009-08-10,2020-06-10,517,263
EPS,662,300,2009-05-27,2018-01-03,66,50
GIII,661,232,2009-12-03,2020-06-10,568,179
MCP,661,307,2011-03-29,2016-03-03,661,307
PAA,660,434,2009-11-11,2020-06-11,547,356
ALKS,660,397,2009-11-18,2020-05-27,578,335
HAIN,660,332,2011-05-04,2020-06-01,641,320
FRO,660,386,2009-08-17,2020-06-08,536,308
NOW,660,360,2009-08-07,2020-06-11,566,303
BNO,656,626,2011-02-19,2020-06-08,654,624
PAYX,656,333,2009-09-24,2020-06-05,551,264
TRP,655,453,2009-08-10,2020-06-11,597,403
DWA,654,338,2009-08-13,2016-12-22,553,278
XLI,654,449,2009-09-03,2020-06-01,565,372
MDCO,654,361,2009-08-10,2020-02-18,631,339
ACOR,653,364,2009-10-09,2020-06-08,583,314
RBS,653,447,2009-08-10,2020-06-11,461,317
OCN,653,356,2009-12-28,2020-06-11,612,324
FRED,651,314,2010-02-01,2019-09-27,617,295
SPG,647,422,2011-04-29,2020-06-11,563,368
SOHU,647,367,2009-10-14,2020-05-18,577,315
CNX,647,448,2009-08-13,2020-06-10,518,356
INFY,646,349,2009-10-29,2020-06-11,561,286
DSX,645,502,2009-11-10,2020-06-05,565,435
IRBT,645,343,2010-01-06,2020-06-03,591,305
CVC,643,362,2009-08-14,2017-07-29,543,293
FRAN,642,243,2011-06-14,2020-06-08,614,227
YNDX,641,398,2011-05-24,2020-06-02,607,375
VIPS,640,335,2012-03-23,2020-06-11,603,317
TXT,640,386,2009-08-14,2020-06-11,531,304
JOY,639,278,2011-12-06,2017-04-04,639,278
RRGB,637,304,2009-08-17,2020-06-10,536,237
HA,637,426,2009-08-09,2020-06-10,539,359
CXO,637,439,2009-08-14,2020-06-10,540,366
PZZA,636,344,2009-12-15,2020-06-08,547,295
KBR,636,434,2009-08-17,2020-06-05,541,362
TUR,635,401,2009-11-03,2020-03-25,555,333
HRS,635,467,2009-08-10,2019-06-21,553,404
TRV,635,375,2009-10-22,2020-06-11,494,280
HIG,634,407,2009-08-10,2020-06-11,454,286
SWK,633,364,2009-09-09,2020-06-11,514,278
R,632,290,2009-06-19,2020-06-11,406,232
FE,632,393,2009-12-04,2020-06-05,523,309
ARMH,630,400,2009-10-19,2017-05-23,478,304
AFL,630,405,2009-08-14,2020-06-09,486,300
F,630,239,2019-04-30,2020-06-11,389,158
LYB,629,403,2010-10-14,2020-06-11,529,342
SM,629,425,2009-08-12,2020-06-11,490,342
